blocked_threshold,disagreement_threshold_m,mean_blocked_epoch_frac,mean_catastrophic_rate_pct,mean_outlier_rate_pct,mean_p95,mean_rms_2d,method,n_segments,pf_rms_wins,positive_threshold,robust_rms_wins
0.020000,0.000000,0.063333,0.000000,38.666667,109.115869,92.680369,"PF-RichGate(b=0.02,p=0.5,d=0)",3,2,0.500000,2
0.020000,5.000000,0.063333,0.000000,38.666667,109.115869,92.680369,"PF-RichGate(b=0.02,p=0.5,d=5)",3,2,0.500000,2
0.020000,10.000000,0.060000,0.000000,38.666667,109.115869,92.688607,"PF-RichGate(b=0.02,p=0.5,d=10)",3,2,0.500000,2
0.020000,20.000000,0.050000,0.000000,38.666667,109.115869,92.709969,"PF-RichGate(b=0.02,p=0.5,d=20)",3,2,0.500000,1
0.020000,40.000000,0.050000,0.000000,38.666667,109.115869,92.709969,"PF-RichGate(b=0.02,p=0.5,d=40)",3,2,0.500000,1
0.020000,80.000000,0.043333,0.000000,38.666667,108.987553,92.672673,"PF-RichGate(b=0.02,p=0.5,d=80)",3,2,0.500000,1
0.020000,0.000000,0.053333,0.000000,38.666667,108.987553,92.615085,"PF-RichGate(b=0.02,p=0.75,d=0)",3,2,0.750000,2
0.020000,5.000000,0.053333,0.000000,38.666667,108.987553,92.615085,"PF-RichGate(b=0.02,p=0.75,d=5)",3,2,0.750000,2
0.020000,10.000000,0.053333,0.000000,38.666667,108.987553,92.615085,"PF-RichGate(b=0.02,p=0.75,d=10)",3,2,0.750000,2
0.020000,20.000000,0.046667,0.000000,38.666667,108.987553,92.637191,"PF-RichGate(b=0.02,p=0.75,d=20)",3,2,0.750000,1
0.020000,40.000000,0.046667,0.000000,38.666667,108.987553,92.637191,"PF-RichGate(b=0.02,p=0.75,d=40)",3,2,0.750000,1
0.020000,80.000000,0.043333,0.000000,38.666667,108.987553,92.672673,"PF-RichGate(b=0.02,p=0.75,d=80)",3,2,0.750000,1
